F5BI-DM-000107,V-60147,SV-74577,SV-74577r1_rule,V-217398,SV-217398r557520_rule
F5BI-DM-000109,V-60149,SV-74579,SV-74579r1_rule,V-228989,SV-228989r557520_rule
F5BI-DM-000111,V-60249,SV-74679,SV-74679r1_rule,V-217399,SV-217399r557520_rule
F5BI-DM-000113,V-60151,SV-74581,SV-74581r1_rule,V-217400,SV-217400r557520_rule
F5BI-DM-000115,V-60251,SV-74681,SV-74681r1_rule,V-217401,SV-217401r557520_rule
F5BI-DM-000117,V-60153,SV-74583,SV-74583r1_rule,V-217402,SV-217402r557520_rule
F5BI-DM-000119,V-60155,SV-74585,SV-74585r2_rule,V-217403,SV-217403r557520_rule
F5BI-DM-000121,V-60157,SV-74587,SV-74587r1_rule,V-217404,SV-217404r557520_rule
F5BI-DM-000123,V-60159,SV-74589,SV-74589r1_rule,V-217405,SV-217405r557520_rule
F5BI-DM-000125,V-60253,SV-74683,SV-74683r1_rule,V-228990,SV-228990r557520_rule
F5BI-DM-000127,V-60161,SV-74591,SV-74591r1_rule,V-228991,SV-228991r557520_rule
F5BI-DM-000133,V-60163,SV-74593,SV-74593r2_rule,V-217406,SV-217406r557520_rule
F5BI-DM-000135,V-60255,SV-74685,SV-74685r1_rule,V-217407,SV-217407r557520_rule
F5BI-DM-000137,V-60165,SV-74595,SV-74595r1_rule,V-217408,SV-217408r557520_rule
F5BI-DM-000139,V-60167,SV-74597,SV-74597r1_rule,V-217409,SV-217409r557520_rule
F5BI-DM-000149,V-60171,SV-74601,SV-74601r1_rule,V-228992,SV-228992r557520_rule
F5BI-DM-000151,V-60173,SV-74603,SV-74603r1_rule,V-228993,SV-228993r557520_rule
F5BI-DM-000153,V-60175,SV-74605,SV-74605r1_rule,V-228994,SV-228994r557520_rule
F5BI-DM-000155,V-60177,SV-74607,SV-74607r1_rule,V-228995,SV-228995r557520_rule
F5BI-DM-000157,V-60179,SV-74609,SV-74609r1_rule,V-228996,SV-228996r557520_rule
F5BI-DM-000159,V-60181,SV-74611,SV-74611r1_rule,V-228997,SV-228997r557520_rule
F5BI-DM-000161,V-60183,SV-74613,SV-74613r1_rule,V-228998,SV-228998r557520_rule
F5BI-DM-000163,V-60185,SV-74615,SV-74615r1_rule,V-228999,SV-228999r557520_rule
F5BI-DM-000171,V-60187,SV-74617,SV-74617r1_rule,V-217410,SV-217410r557520_rule
F5BI-DM-000173,V-60189,SV-74619,SV-74619r1_rule,V-229000,SV-229000r557520_rule
F5BI-DM-000175,V-60191,SV-74621,SV-74621r1_rule,V-229001,SV-229001r557520_rule
F5BI-DM-000179,V-60193,SV-74623,SV-74623r1_rule,V-217411,SV-217411r557520_rule
F5BI-DM-000185,V-60195,SV-74625,SV-74625r1_rule,V-229002,SV-229002r557520_rule
F5BI-DM-000187,V-60197,SV-74627,SV-74627r1_rule,V-229003,SV-229003r557520_rule
F5BI-DM-000191,V-60201,SV-74631,SV-74631r1_rule,V-217413,SV-217413r557520_rule
F5BI-DM-000193,V-60203,SV-74633,SV-74633r1_rule,V-229005,SV-229005r557520_rule
F5BI-DM-000201,V-60205,SV-74635,SV-74635r1_rule,V-217414,SV-217414r557520_rule
F5BI-DM-000211,V-60207,SV-74637,SV-74637r1_rule,V-229006,SV-229006r557520_rule
F5BI-DM-000213,V-60209,SV-74639,SV-74639r1_rule,V-217415,SV-217415r557520_rule
F5BI-DM-000215,V-60211,SV-74641,SV-74641r1_rule,V-217416,SV-217416r557520_rule
F5BI-DM-000227,V-60213,SV-74643,SV-74643r1_rule,V-229007,SV-229007r557520_rule
F5BI-DM-000229,V-60215,SV-74645,SV-74645r1_rule,V-229008,SV-229008r557520_rule
F5BI-DM-000239,V-60217,SV-74647,SV-74647r1_rule,V-217417,SV-217417r557520_rule
F5BI-DM-000257,V-60219,SV-74649,SV-74649r1_rule,V-217418,SV-217418r557520_rule
F5BI-DM-000259,V-60221,SV-74651,SV-74651r1_rule,V-217419,SV-217419r557520_rule
F5BI-DM-000261,V-60223,SV-74653,SV-74653r1_rule,V-229009,SV-229009r557520_rule
F5BI-DM-000263,V-60225,SV-74655,SV-74655r1_rule,V-229010,SV-229010r557520_rule
F5BI-DM-000269,V-60227,SV-74657,SV-74657r1_rule,V-217420,SV-217420r557520_rule
F5BI-DM-000271,V-60229,SV-74659,SV-74659r1_rule,V-229011,SV-229011r557520_rule
F5BI-DM-000273,V-60231,SV-74661,SV-74661r1_rule,V-229012,SV-229012r557520_rule
F5BI-DM-000277,V-60233,SV-74663,SV-74663r1_rule,V-217421,SV-217421r557520_rule
F5BI-DM-000279,V-60235,SV-74665,SV-74665r1_rule,V-217422,SV-217422r557520_rule
F5BI-DM-000281,V-60237,SV-74667,SV-74667r1_rule,V-229013,SV-229013r557520_rule
F5BI-DM-000283,V-60239,SV-74669,SV-74669r1_rule,V-217423,SV-217423r557520_rule
F5BI-DM-000284,V-97729,SV-106833,SV-106833r1_rule,V-217424,SV-217424r557520_rule
F5BI-DM-000290,,,Old Rule ID,V-230217,SV-230217r561165_rule
